"","phase","objFun","maxGrad","nPar","convCode","convMsg","time","pdHess"
"1","1",583.50956483068,0.000765194369988643,13,0,"relative convergence (4)",0.355,FALSE
"2","2",-15.5366618615205,1.97507811828492e-05,16,0,"relative convergence (4)",0.238,FALSE
"3","3",-42.6833543908712,1.65601419878999e-05,17,0,"relative convergence (4)",0.236000000000001,FALSE
"4","4",-74.792206911003,0.000498942615546632,20,0,"relative convergence (4)",0.257000000000001,FALSE
"5","5",-306.064573459624,0.00150743897156348,92,0,"relative convergence (4)",0.348999999999999,FALSE
"6","6",-473.105305478957,0.000637198838065789,162,0,"relative convergence (4)",1.287,FALSE
"7","7",-614.244180523386,0.00251866898081876,165,0,"relative convergence (4)",1.452,FALSE
"8","8",-612.58078284559,0.000198187981989501,164,0,"relative convergence (4)",1.67,FALSE
"9","HMC",NA,NA,NA,NA,NA,1087.301,NA
