"","est","se","gr","cv"
"lnB0_p",4.56387139378192,0.194491881702329,0.045623887648894,0.0426155482749396
"lnRbar_p",8.05836349419175,0.128880819309134,-0.100214617069832,0.0159934234043956
"lnm1",1.14295287350689,0.266048348552827,-0.0676348672997711,0.232772806928178
"fDevs_ap",0.707468373284099,0.261269173253814,3.90518704551697e-05,0.36930155908029
"fDevs_ap.1",0.536981587262241,0.220473487076078,-3.59486843389898e-05,0.410579230845036
"fDevs_ap.2",0.560494506824769,0.221314645880556,-4.28505105405908e-05,0.394856047982191
"fDevs_ap.3",-0.00568776838173828,0.264456477957398,-3.51154711219857e-05,46.4956482416703
"fDevs_ap.4",-1.75065378634982,0.635694542866034,-3.11720818591349e-05,0.363118366305586
"fDevs_ap.5",-1.34902405242176,0.693782255774113,-3.02574995495825e-05,0.514284570781846
"fDevs_ap.6",-0.99050862103653,0.752413391233626,-3.23235115381576e-05,0.759623263496944
"fDevs_ap.7",-0.701310571282373,0.807543584725563,-3.68489240220537e-05,1.15147784418669
"fDevs_ap.8",-0.459333207100897,0.860842905977004,-4.08467146073533e-05,1.87411424357985
"fDevs_ap.9",-0.529311822066491,0.851594029939632,-4.61704739314878e-05,1.60887022438856
"lnSelAlpha_g",1.0048777144468,0.00906592863717631,0.00375414567403149,0.00902192227655008
"lnSelAlpha_g.1",1.03319524479173,0.0076809201827539,0.0119256567672282,0.007434142018629
"lnSelAlpha_g.2",1.52014941796402,0.00751851392406157,-0.109838020648717,0.00494590455070617
"lntauObsComb_pg",-1.03503596055143,0.153980646166508,-0.000105732622320862,0.148768402292488
"lntauObsComb_pg.1",-1.28423923593097,0.166205757724355,-2.49952681033218e-05,0.129419622975364
"recDevs_pt",0.127190936122984,0.0482572688649587,0.000254299936790714,0.379408079977472
"recDevs_pt.1",0.0470461840106801,0.0478381337219176,0.000229332836413132,1.01683345265703
"recDevs_pt.2",-0.0986795368680777,0.0473950142858954,0.000132727607899064,0.480292224610424
"recDevs_pt.3",-0.153827063825161,0.0490926726921228,0.000124561192452521,0.319141973274101
"recDevs_pt.4",-0.0751553355591759,0.0491709318442449,0.000212996036458968,0.654257365473788
"recDevs_pt.5",0.0578830343492522,0.0446755707124455,0.000450406233730716,0.771824960711009
"recDevs_pt.6",0.0146823082651227,0.0456722008035916,0.000412187519223339,3.11069621880125
"recDevs_pt.7",-0.112661870889175,0.0552166371127433,0.000210928140182087,0.490109357113904
"recDevs_pt.8",0.0888416616210989,0.0533402137557786,0.000809327898742218,0.600396399419784
"recDevs_pt.9",0.0422258416832396,0.052048416325276,0.000962444196878742,1.23261998459903
"recDevs_pt.10",0.0388927842605877,0.0494661387602509,0.00125071136205812,1.27185902734091
"recDevs_pt.11",-0.109814913879116,0.0558790097832286,0.000804016545247421,0.508847184861793
"recDevs_pt.12",-0.157014414953279,0.0696259128433615,0.000845503035521222,0.443436437756873
"recDevs_pt.13",-0.0815460317253663,0.0773017444633577,0.00188123057105116,0.947952252584128
"recDevs_pt.14",-0.208727078141414,0.0996224447449578,0.00348338908509582,0.477285676741295
"recDevs_pt.15",-0.276728521168711,0.100571431638047,0.00424255427504638,0.363429946480768
"recDevs_pt.16",-0.133029101000504,0.0590161784682981,0.00187953694372212,0.443633596141301
"recDevs_pt.17",-0.117093417701975,0.0544528923084618,0.00472299837897783,0.465038030122709
"recDevs_pt.18",-0.185670462775306,0.0559813401643724,-0.00467311730678066,0.301509132511399
"recDevs_pt.19",-0.201057943975413,0.0549385733096734,0.00605564452347895,0.273247464006653
"recDevs_pt.20",-0.149099781465517,0.0529725386239564,-0.00509764662640944,0.355282469922383
"recDevs_pt.21",-0.07775762912308,0.0487439932126485,-0.0094015410080539,0.626870877653604
"recDevs_pt.22",-0.164673564275081,0.0487545874486056,0.00415229606517853,0.296068088786631
"recDevs_pt.23",-0.0272679164597511,0.0477558266355594,-0.00715755435687093,1.75135590964749
"recDevs_pt.24",-0.049715946701318,0.0477177738180981,-0.00623388040077177,0.959808210125729
"recDevs_pt.25",-0.20744191519522,0.0494466852377606,-0.00593473434725755,0.23836400271964
"recDevs_pt.26",-0.0837341353272789,0.0493911185610784,-0.0126103494771788,0.589856435108942
"recDevs_pt.27",-0.141574703525574,0.0482617428558264,-0.0103393420986593,0.340892416893591
"recDevs_pt.28",-0.154939840012986,0.049642170608818,-0.0171357689700824,0.320396423570965
"recDevs_pt.29",-0.182513588897174,0.0518684714440342,-0.0149263918645546,0.2841896417546
"recDevs_pt.30",-0.232479487827786,0.0557203686391932,-0.0044197467508158,0.239678645027251
"recDevs_pt.31",-0.165983314163529,0.0536227257631021,-0.00854629074685986,0.323060941597251
"recDevs_pt.32",-0.07038709422859,0.0477154899181557,-0.00442250082462392,0.677901118679431
"recDevs_pt.33",-0.241136959747625,0.0478526191828614,-0.0032091293379346,0.198445809522291
"recDevs_pt.34",-0.0360150023019564,0.0459364565148345,-0.001095937817849,1.27548114893052
"recDevs_pt.35",-0.321329074689196,0.0482212555591239,-0.00160787008968422,0.150068136864881
"recDevs_pt.36",-0.0893535476320339,0.0454375958012041,-0.0106866615573544,0.508514737303104
"recDevs_pt.37",-0.214088824338625,0.0467019937201461,-0.00233979815401986,0.218143071523796
"recDevs_pt.38",-0.0154618222065205,0.0458961925961393,-0.0215262592620626,2.9683559921407
"recDevs_pt.39",-0.0990296491642298,0.0462744212356244,-0.0128000050867589,0.467278452727661
"recDevs_pt.40",-0.0443145734030145,0.0458730936260552,-0.0204500210649572,1.03516947368232
"recDevs_pt.41",-0.219713358093998,0.0481879119180491,-0.00540982869620832,0.219321721428668
"recDevs_pt.42",-0.0594352990624132,0.0477486826451369,-0.0203437238759112,0.803372463811378
"recDevs_pt.43",0.0114537543293505,0.0473728521346997,-0.0225724586381324,4.13601084609487
"recDevs_pt.44",0.00875524488129574,0.0462156332075375,-0.0250861405518727,5.27862256671658
"recDevs_pt.45",-0.186707525564951,0.0462672898903742,-0.0113686824720789,0.247806240002248
"recDevs_pt.46",-0.0808265702687401,0.0462488172799018,-0.0165635054971163,0.57219819084404
"recDevs_pt.47",-0.0329090817310372,0.0463183205094864,-0.0187980959341898,1.40746317044157
"recDevs_pt.48",0.0271300035912557,0.046400739816921,-0.0187034939780284,1.71031086158339
"recDevs_pt.49",0.0514916365977587,0.0464886035284039,-0.0116570064475436,0.902837948064509
"recDevs_pt.50",-0.0424880669280158,0.0478174786617659,-0.00752110916000204,1.12543314203443
"recDevs_pt.51",-0.0699911796703149,0.0497740738204726,-0.0155429209581976,0.711147805408159
"recDevs_pt.52",-0.107236531013571,0.0512538792389426,-0.0180611227308618,0.477951671454725
"recDevs_pt.53",0.0350255408681135,0.0492912294954061,-0.0172257013244466,1.40729388536809
"recDevs_pt.54",-0.309869111630617,0.0526496225257447,-0.00532311376595507,0.169909231186961
"recDevs_pt.55",0.0165146912079682,0.0469721957428943,-0.0172386005896332,2.8442672739912
"recDevs_pt.56",-0.386337131692044,0.0497517108676841,-0.00902065872004876,0.128777968221139
"recDevs_pt.57",0.0726401665010815,0.0456046325425243,-0.0103112715853824,0.627815638911639
"recDevs_pt.58",-0.0372621307632295,0.0451154147458787,-0.0095296733002681,1.21075778066881
"recDevs_pt.59",-0.153263392155829,0.0451442424019098,0.00354138902421219,0.294553329186462
"recDevs_pt.60",0.00372890576094465,0.0434819764783588,-0.00411064280209583,11.660787176167
"recDevs_pt.61",0.0337819184788707,0.0438139863521455,0.0114719807513286,1.29696560541846
"recDevs_pt.62",-0.00414868637556028,0.0449023877766554,0.00977320128392112,10.8232784336684
"recDevs_pt.63",-0.0322346894519746,0.0459860866407302,0.00117159358321173,1.42660244049329
"recDevs_pt.64",-0.0283835151184468,0.0476525261609777,-0.00609669141424263,1.67888036284864
"recDevs_pt.65",-0.0258957963726321,0.0483670694877345,-0.00387317001800325,1.86775756156513
"recDevs_pt.66",0.129679483617003,0.0497118384627842,-0.00435844350235048,0.383343895859453
"recDevs_pt.67",0.0494847850681387,0.0498572175835999,0.00102355400718057,1.00752620254788
"recDevs_pt.68",-0.0740031619979824,0.0542006499866747,0.00203806263833073,0.732409920378165
"recDevs_pt.69",0.00549475582635252,0.0546479400888922,0.00150584500671624,9.94547197653515
"omegaM_pt",-0.255054522390175,0.92219678665541,-3.49831475270179e-06,3.61568490538137
"omegaM_pt.1",-0.480116709758515,0.875985069019117,-1.10052804592931e-05,1.82452526899077
"omegaM_pt.2",-0.559837656653619,0.86334692685238,-1.73405958101543e-05,1.54213800481547
"omegaM_pt.3",-0.739981483699212,0.850373934623297,-1.37416797788166e-05,1.14918272058948
"omegaM_pt.4",-0.669601581366929,0.850022534425585,-7.76978148946652e-06,1.26944523143202
"omegaM_pt.5",-0.622860324485367,0.861870286411336,-2.91021329090842e-06,1.38372963011161
"omegaM_pt.6",-0.649231276557359,0.848905320323153,-1.30344625566288e-05,1.30755456641675
"omegaM_pt.7",-1.13766138956435,0.833937780865841,-1.98239677399824e-05,0.733028112332426
"omegaM_pt.8",-0.351018724947659,0.860046214895154,-2.28397472008776e-05,2.45014340765837
"omegaM_pt.9",0.150867542423697,0.885755502193921,-4.31524129534011e-05,5.87108060464298
"omegaM_pt.10",-0.0973284061095151,0.890957361046069,-5.90203487373606e-05,9.1541349197022
"omegaM_pt.11",-0.601705847259595,0.865967144882992,-6.90459889970186e-05,1.4391868532223
"omegaM_pt.12",-0.470050253641866,0.876148284651741,-6.46628303120852e-05,1.86394598846293
"omegaM_pt.13",0.336320820849014,0.912086424750273,-6.64912754237621e-05,2.71195349264368
"omegaM_pt.14",0.790133554273704,0.947938063423209,-0.000120938983406653,1.1997187795607
"omegaM_pt.15",-0.0371738898245507,0.92502642810151,-0.000214593530226013,24.8837674095272
"omegaM_pt.16",0.869254890705033,0.89851803549438,-0.000465613267957411,1.03366463059599
"omegaM_pt.17",0.162759698291065,0.908590732276516,-0.000328315052453892,5.58240609817101
"omegaM_pt.18",-0.0385299376529109,0.89888701586285,-0.00040143245929726,23.3295735892513
"omegaM_pt.19",0.182881668955781,0.897420676383229,-0.000106142394763924,4.90711114737375
"omegaM_pt.20",0.360589137213682,0.899241412741234,-0.000339625406679764,2.49381170960885
"omegaM_pt.21",-0.125037176938753,0.888592611484459,7.70559671082286e-06,7.10662727070138
"omegaM_pt.22",-0.812521073149093,0.864433429176483,0.00033075483452755,1.06389047342021
"omegaM_pt.23",-0.613048491146047,0.850351760960988,0.000159921792133577,1.38708727489292
"omegaM_pt.24",-0.459687507671576,0.847826392958773,0.000386977088910417,1.8443537812311
"omegaM_pt.25",-0.61266214291592,0.839412851767281,0.000510770524879999,1.37010726298863
"omegaM_pt.26",-0.47770687954523,0.84735610312729,0.000632915375107661,1.77379924679745
"omegaM_pt.27",-0.412967916672794,0.859891033335644,0.00094190705809047,2.08222236793508
"omegaM_pt.28",-0.532894025580719,0.854778160164608,0.00113035232911054,1.6040302933273
"omegaM_pt.29",-0.325497394913157,0.858742689262608,0.00162344284008748,2.63824750269268
"omegaM_pt.30",-0.231031657249775,0.867848567124542,0.0019248728819398,3.75640540978453
"omegaM_pt.31",0.735520292929882,0.8840816348563,0.00211233126597739,1.20198129589958
"omegaM_pt.32",0.743435976079706,0.920449110622511,0.00166442567495602,1.23810138362718
"omegaM_pt.33",0.0517232745446539,0.876661837961606,0.00084086637135913,16.9490784502587
"omegaM_pt.34",-0.18569879971127,0.836047095068336,0.00059196031389802,4.50216746887028
"omegaM_pt.35",-0.540897830537069,0.839665466834086,0.000429646691368271,1.55235502793636
"omegaM_pt.36",-0.135554937493598,0.811125008151466,0.000388082034223686,5.98373635921431
"omegaM_pt.37",-1.00808345020311,0.829278545620329,0.000543210182127092,0.822628866145205
"omegaM_pt.38",-0.44385313438861,0.817325638753461,0.000595845781471088,1.84143261684813
"omegaM_pt.39",-0.246753698110151,0.816365125980249,0.00128512013417323,3.30842103779058
"omegaM_pt.40",-0.472213050548699,0.818032485916631,0.00147929994543282,1.73233773392349
"omegaM_pt.41",-0.531997028723957,0.818240226261162,0.00193107431292723,1.53805412827922
"omegaM_pt.42",0.00815671104062242,0.817803893185031,0.0020520470170403,100.261476606462
"omegaM_pt.43",0.207266862545942,0.828883001407868,0.00240561679732583,3.99911009037512
"omegaM_pt.44",0.116384767584073,0.837361332413228,0.00267552150547808,7.19476740638193
"omegaM_pt.45",-0.0569619992943707,0.833175154805282,0.00292240141391409,14.6268593997125
"omegaM_pt.46",-0.307016746877914,0.834185590897313,0.0025139557165685,2.7170686921161
"omegaM_pt.47",-0.336611004985148,0.827666417981072,0.00246057087361668,2.45882162414028
"omegaM_pt.48",-0.266195424150681,0.830444988673329,0.00252046150996903,3.11968168244414
"omegaM_pt.49",-0.373404058573193,0.82666967726233,0.00243712639472472,2.21387437624835
"omegaM_pt.50",-0.468734803074121,0.82240798042271,0.00222818249339143,1.75452724019868
"omegaM_pt.51",-0.286353979900614,0.826350558544972,0.00205007296383319,2.88576592800204
"omegaM_pt.52",-0.0157662987365672,0.842711553089926,0.00230704489567833,53.4501830245928
"omegaM_pt.53",0.31681277142312,0.861861444968638,0.00271452425785044,2.72041256764102
"omegaM_pt.54",0.22430672180868,0.892076735749136,0.00256046806408362,3.97703969170404
"omegaM_pt.55",0.375493080453206,0.846654968286435,0.00206929346697114,2.25478181186336
"omegaM_pt.56",-0.649363671017468,0.845659316304171,0.00173575734925642,1.30228923182465
"omegaM_pt.57",-0.24863129583444,0.843455137565896,0.0016368582764145,3.39239328152616
"omegaM_pt.58",-0.309757374554266,0.84643368021406,0.0013735231619617,2.7325699071154
"omegaM_pt.59",-0.382948876825069,0.84513956730457,0.00130734895568727,2.20692530635265
"omegaM_pt.60",-0.446686201964987,0.839160321352079,0.000852337091623273,1.87863497385992
"omegaM_pt.61",-0.763874040189486,0.818487536395512,0.000598312022140395,1.07149542114624
"omegaM_pt.62",-0.621895520375957,0.813356565226658,-3.66481263531863e-06,1.30786689818083
"omegaM_pt.63",-0.586290013021861,0.820433377076715,-0.000423629856260543,1.39936440815021
"omegaM_pt.64",-0.473583679245899,0.824300322965564,-0.000445441659166219,1.74055897424109
"omegaM_pt.65",0.0147109421231316,0.834397687646884,-0.000162001897531655,56.7195275912935
"omegaM_pt.66",0.249526791187733,0.837890927883373,0.000146067044902641,3.35791970030577
"omegaM_pt.67",0.376916909841746,0.842229544140438,0.000435038919758915,2.23452310615106
"omegaM_pt.68",0.18271872945384,0.852473459695313,0.000323799524743491,4.66549577179866
"omegaM_pt.69",0.704964971276916,0.854146986092449,0.000183540344006987,1.21161620916471
"omegaM_pt.70",0.150945493965609,0.876875533200711,2.18656631747971e-05,5.80921967369556
"omegaM_pt.71",0.111469752012631,0.917406332226455,7.40466085232118e-06,8.23009216098825
"lnqComb_pg",-0.305488814994126,0.0937621001932107,0.000171561088671801,0.30692482209214
"logitphi1_g",2.1251575696934,0.377772577771691,-5.03785990169092e-06,0.177762149573781
"logitphi1_g.1",1.05709946167783,0.32040942055218,-2.08937262335951e-06,0.303102434697701
"logitphi1_g.2",1.92271992681083,0.332761023447802,-0.0111366592493729,0.173067860174386
