"","est","se","gr","cv"
"lnB0_p",4.56424541112266,0.182989924725456,0.045184301174414,0.0400920433155338
"lnRbar_p",8.05845967875106,0.127442168506452,-0.0995418493551492,0.0158147057361964
"lnm1",1.14715459310226,0.253599440324916,-0.06678248809676,0.221068234263967
"fDevs_ap",0.707037499784968,0.259136748816047,8.53066615080829e-05,0.366510614917679
"fDevs_ap.1",0.53629742033144,0.217389643921025,-9.51480540222058e-05,0.405352768220803
"fDevs_ap.2",0.559551523010531,0.214564101177225,5.8038280387609e-05,0.383457273108318
"fDevs_ap.3",-0.00699313996206911,0.256839255011179,-2.70459032325131e-05,36.7273151122785
"fDevs_ap.4",-1.7531136816695,0.63028452071396,-5.95719297543788e-05,0.359522903337186
"fDevs_ap.5",-1.35164001099161,0.688864629792311,-3.64418438393659e-05,0.509650960455763
"fDevs_ap.6",-0.993067732855019,0.748315638772507,-1.22643870382192e-05,0.753539375024438
"fDevs_ap.7",-0.703685606463823,0.804390206025006,9.06538611719652e-06,1.14311021660262
"fDevs_ap.8",-0.461265407731875,0.858726235794259,1.2756465403866e-05,1.86167490863182
"fDevs_ap.9",-0.531958030085748,0.848273233022706,-7.49651769164461e-06,1.59462435953071
"lnSelAlpha_g",1.00484208587657,0.00905685410567961,0.0039401427809128,0.00901321136223993
"lnSelAlpha_g.1",1.03319882105581,0.00766968415444435,0.0118056906922123,0.00742324129503635
"lnSelAlpha_g.2",1.52015539055907,0.00751596039971857,-0.109981181592324,0.00494420534005699
"lntauObsComb_pg",-1.0346908944645,0.154077214235332,-7.01842843307125e-05,0.148911346431703
"lntauObsComb_pg.1",-1.28339131855144,0.166056156503055,9.29130572306376e-05,0.129388561464232
"recDevs_pt",0.126833430008245,0.0482227203431994,0.000194869038927514,0.380205126834971
"recDevs_pt.1",0.0467979171313203,0.0478129136725405,0.000197368427631961,1.02168892556419
"recDevs_pt.2",-0.099049547128379,0.0473887999470629,0.000152529848046257,0.478435301532897
"recDevs_pt.3",-0.154399106765005,0.0490868745107611,0.000142035386575312,0.317922010944475
"recDevs_pt.4",-0.0758010066298663,0.0491505097118083,0.000161001435403207,0.648414999972342
"recDevs_pt.5",0.0574997125291711,0.0446676451248653,0.00036412639572525,0.776832494635591
"recDevs_pt.6",0.0146707711415123,0.0456837616344678,0.000376790752875111,3.11393049443742
