"","est","se","gr","cv"
"lnB0_p",4.56786453154659,0.170789072643318,0.0348704042878752,0.0373892595684075
"lnRbar_p",8.08411140849517,0.123022412451879,-0.087597200753761,0.0152178027040302
"lnm1",1.24326600705803,0.25435522982136,-0.0493622306257876,0.204586330179852
"fDevs_ap",0.702689990030633,0.26616289967255,-1.69220323534559e-05,0.378777132802115
"fDevs_ap.1",0.536083100871579,0.225104097676214,-1.56181062449154e-05,0.419905229823946
"fDevs_ap.2",0.560839782979303,0.215645649900762,-2.08014067614038e-05,0.384504909325807
"fDevs_ap.3",0.000681905545964502,0.252991814129113,-2.43613788803738e-05,371.007122065968
"fDevs_ap.4",-1.72513425593182,0.624553509809333,-1.1259359669584e-05,0.362031828921039
"fDevs_ap.5",-1.31999873244349,0.68507507077593,-6.79552632598002e-06,0.518996764116405
"fDevs_ap.6",-0.960465614147926,0.747041357401438,-8.71703726061044e-06,0.777790840606171
"fDevs_ap.7",-0.672602472981434,0.805659731299715,-1.92303325075542e-05,1.19782451546525
"fDevs_ap.8",-0.434843244496684,0.862039594149448,-3.74582150691175e-05,1.98241459436085
"fDevs_ap.9",-0.494514373026133,0.850782257559982,-3.66998016264111e-05,1.72043989814432
"lnSelAlpha_g",1.00577990941588,0.00902096111545287,0.00385867065177746,0.00896912041193178
"lnSelAlpha_g.1",1.03412722317678,0.00763124385305058,0.0118980028042052,0.00737940524339727
"lnSelAlpha_g.2",1.52057763844241,0.00753001346670319,-0.110419135055157,0.00495207431461146
"lntauObsComb_pg",-1.04050523072275,0.155001725589623,6.6989285070043e-06,0.148967752408084
"lntauObsComb_pg.1",-1.2759583299097,0.168086374903882,6.85594350750035e-06,0.131733435931076
"recDevs_pt",0.12975487131286,0.0490402816799386,4.86698629185156e-05,0.377945592205894
"recDevs_pt.1",0.0492631526830935,0.0484269785241913,2.76388461486476e-05,0.983026377457382
"recDevs_pt.2",-0.0981321142627639,0.0479387208471167,2.24159328818807e-05,0.488512055480159
"recDevs_pt.3",-0.154464744210256,0.0495349310148456,3.2236936164054e-05,0.320687618835655
"recDevs_pt.4",-0.0762183583592767,0.0497164545866597,0.000121506371275615,0.652289758752178
"recDevs_pt.5",0.0572862646775207,0.045276238019652,0.000151837736318772,0.790350676109252
"recDevs_pt.6",0.0151414644484542,0.0461887801707132,0.000250340170645957,3.05048301820162
"recDevs_pt.7",-0.110734187851402,0.0557744457034182,0.00017265574667924,0.503678645101581
"recDevs_pt.8",0.091440045469135,0.054281870693625,0.000559692399330958,0.593633461303861
"recDevs_pt.9",0.0436898845532488,0.0528932145974859,0.000629177148719462,1.21065127862767
"recDevs_pt.10",0.0392254229140209,0.050172538813784,0.000983644868498779,1.2790821637222
"recDevs_pt.11",-0.109462102208649,0.0565092885407583,0.000740728227139442,0.516245233743496
"recDevs_pt.12",-0.156838315350576,0.070299456162377,0.000705843181587618,0.448228840033372
"recDevs_pt.13",-0.0829921547634478,0.0782725665137983,0.00175262573438362,0.94313211576321
"recDevs_pt.14",-0.21180074203353,0.0996810385541583,0.00343899967268246,0.470635926942966
"recDevs_pt.15",-0.279578812397332,0.100531670924021,0.00419548481659726,0.359582580890097
"recDevs_pt.16",-0.134983748725856,0.0593121673429278,0.0018311685100465,0.439402282888048
"recDevs_pt.17",-0.118119531119768,0.0550011839788317,0.00481193938348889,0.465640046632616
"recDevs_pt.18",-0.186042812061283,0.0566236060742152,-0.00457408222442623,0.304357934858365
"recDevs_pt.19",-0.2010192530481,0.0556326736139467,0.00620778465683491,0.276752961571471
"recDevs_pt.20",-0.149500324365879,0.053609376815733,-0.00464159209166626,0.358590371245832
"recDevs_pt.21",-0.0777863275164376,0.0493231820714961,-0.00845943646870362,0.634085496079928
"recDevs_pt.22",-0.163989393641201,0.0491963798943415,0.00461559126507316,0.299997327888048
"recDevs_pt.23",-0.0253700236674292,0.048320645944733,-0.00587655769894369,1.90463543030779
"recDevs_pt.24",-0.0479010524133,0.0482593014025403,-0.00481351738953384,1.00747893775171
"recDevs_pt.25",-0.206180952874933,0.049957062842696,-0.00505461318600764,0.242297177048161
"recDevs_pt.26",-0.0825414132996322,0.049968593130228,-0.0110507244000675,0.60537603043987
"recDevs_pt.27",-0.141069388257813,0.0487889144946654,-0.00896988427604528,0.345850471864957
"recDevs_pt.28",-0.153962672101172,0.0502038580847945,-0.015511064209162,0.326078116206015
"recDevs_pt.29",-0.181399436945044,0.0525098840041077,-0.0137077684672993,0.289471041853431
"recDevs_pt.30",-0.23109609424836,0.0565643287506721,-0.00356190339562534,0.244765403477058
"recDevs_pt.31",-0.165429145380101,0.0545993359280649,-0.00791823740761721,0.330046654128653
"recDevs_pt.32",-0.0710143528914192,0.0484167576811753,-0.00339074272486117,0.681788338692664
"recDevs_pt.33",-0.242355346877558,0.0484176845231133,-0.00257569732813501,0.199779724882961
"recDevs_pt.34",-0.0369017682573166,0.0465840861293205,-5.13598434550566e-05,1.26238086490839
"recDevs_pt.35",-0.322403392068015,0.0487333328843943,-0.00124098288660601,0.151156390048506
"recDevs_pt.36",-0.090193398384501,0.045978129346714,-0.00930818608275796,0.50977266818028
"recDevs_pt.37",-0.214575315164105,0.0471584771732024,-0.00144128910137242,0.219775872807811
"recDevs_pt.38",-0.0151645625357432,0.0464300975971286,-0.0192290908692909,3.06174988481809
"recDevs_pt.39",-0.0988745557317753,0.0467951147230806,-0.0108720980356796,0.47327762311292
"recDevs_pt.40",-0.0442205130449516,0.0463470835525441,-0.0181848357214967,1.04809013648102
