"","B0","Busr","Uusr","Yusr","Bmsy","Umsy","MSY","Bcrash","Ucrash","DT","Scenario"
"OM1_refPts","88.58","66.87","0.078","5.774","37.81","0.185","8.876","10.20","0.279","0.94","Mb0.562_h0.70"
"OM2_refPts","88.25","66.60","0.060","4.390","44.71","0.122","6.480","7.03","0.166","0.95","Mb0.562_h0.65"
"OM3_refPts","92.51","67.68","0.099","7.511","34.48","0.261","12.537","5.96","0.419","0.91","Mb0.562_h0.75"
"OM4_refPts","91.54","65.97","0.077","5.627","43.68","0.145","7.626","6.08","0.261","0.91","Mb0.532_h0.70"
"OM5_refPts","92.05","67.82","0.096","7.402","36.35","0.229","11.329","7.91","0.316","0.90","Mb0.584_h0.70"
