"","Chain","Iteration","lnB0_p","lnRbar_p","lnm1","fDevs_ap[1]","fDevs_ap[2]","fDevs_ap[3]","fDevs_ap[4]","fDevs_ap[5]","fDevs_ap[6]","fDevs_ap[7]","fDevs_ap[8]","fDevs_ap[9]","fDevs_ap[10]","lnSelAlpha_g[1]","lnSelAlpha_g[2]","lnSelAlpha_g[3]","lntauObsComb_pg[1]","lntauObsComb_pg[2]","recDevs_pt[1]","recDevs_pt[2]","recDevs_pt[3]","recDevs_pt[4]","recDevs_pt[5]","recDevs_pt[6]","recDevs_pt[7]","recDevs_pt[8]","recDevs_pt[9]","recDevs_pt[10]","recDevs_pt[11]","recDevs_pt[12]","recDevs_pt[13]","recDevs_pt[14]","recDevs_pt[15]","recDevs_pt[16]","recDevs_pt[17]","recDevs_pt[18]","recDevs_pt[19]","recDevs_pt[20]","recDevs_pt[21]","recDevs_pt[22]","recDevs_pt[23]","recDevs_pt[24]","recDevs_pt[25]","recDevs_pt[26]","recDevs_pt[27]","recDevs_pt[28]","recDevs_pt[29]","recDevs_pt[30]","recDevs_pt[31]","recDevs_pt[32]","recDevs_pt[33]","recDevs_pt[34]","recDevs_pt[35]","recDevs_pt[36]","recDevs_pt[37]","recDevs_pt[38]","recDevs_pt[39]","recDevs_pt[40]","recDevs_pt[41]","recDevs_pt[42]","recDevs_pt[43]","recDevs_pt[44]","recDevs_pt[45]","recDevs_pt[46]","recDevs_pt[47]","recDevs_pt[48]","recDevs_pt[49]","recDevs_pt[50]","recDevs_pt[51]","recDevs_pt[52]","recDevs_pt[53]","recDevs_pt[54]","recDevs_pt[55]","recDevs_pt[56]","recDevs_pt[57]","recDevs_pt[58]","recDevs_pt[59]","recDevs_pt[60]","recDevs_pt[61]","recDevs_pt[62]","recDevs_pt[63]","recDevs_pt[64]","recDevs_pt[65]","recDevs_pt[66]","recDevs_pt[67]","recDevs_pt[68]","recDevs_pt[69]","recDevs_pt[70]","omegaM_pt[1]","omegaM_pt[2]","omegaM_pt[3]","omegaM_pt[4]","omegaM_pt[5]","omegaM_pt[6]","omegaM_pt[7]","omegaM_pt[8]","omegaM_pt[9]","omegaM_pt[10]","omegaM_pt[11]","omegaM_pt[12]","omegaM_pt[13]","omegaM_pt[14]","omegaM_pt[15]","omegaM_pt[16]","omegaM_pt[17]","omegaM_pt[18]","omegaM_pt[19]","omegaM_pt[20]","omegaM_pt[21]","omegaM_pt[22]","omegaM_pt[23]","omegaM_pt[24]","omegaM_pt[25]","omegaM_pt[26]","omegaM_pt[27]","omegaM_pt[28]","omegaM_pt[29]","omegaM_pt[30]","omegaM_pt[31]","omegaM_pt[32]","omegaM_pt[33]","omegaM_pt[34]","omegaM_pt[35]","omegaM_pt[36]","omegaM_pt[37]","omegaM_pt[38]","omegaM_pt[39]","omegaM_pt[40]","omegaM_pt[41]","omegaM_pt[42]","omegaM_pt[43]","omegaM_pt[44]","omegaM_pt[45]","omegaM_pt[46]","omegaM_pt[47]","omegaM_pt[48]","omegaM_pt[49]","omegaM_pt[50]","omegaM_pt[51]","omegaM_pt[52]","omegaM_pt[53]","omegaM_pt[54]","omegaM_pt[55]","omegaM_pt[56]","omegaM_pt[57]","omegaM_pt[58]","omegaM_pt[59]","omegaM_pt[60]","omegaM_pt[61]","omegaM_pt[62]","omegaM_pt[63]","omegaM_pt[64]","omegaM_pt[65]","omegaM_pt[66]","omegaM_pt[67]","omegaM_pt[68]","omegaM_pt[69]","omegaM_pt[70]","omegaM_pt[71]","omegaM_pt[72]","lnqComb_pg","logitphi1_g[1]","logitphi1_g[2]","logitphi1_g[3]"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
